876 999
738 311 -694
102 709 -265
568 846 -902
476 394 460
545 859 -173
322 428 -558
108 653 346
152 305 -138
567 464 -69
592 564 -860
22 682 -417
9 592 886
105 498 733
650 157 83
857 377 489
775 303 358
277 14 916
568 212 991
24 230 192
420 389 798
337 412 -786
417 481 -348
10 333 769
820 637 694
45 461 -613
77 757 -90
31 422 -140
161 487 934
78 386 518
148 455 114
252 30 -938
833 268 824
89 612 -694
193 560 -544
149 84 803
415 590 594
711 334 -458
828 15 -135
663 636 514
254 146 -394
684 490 -862
143 724 -459
697 822 -354
91 238 -601
702 381 54
672 357 -214
667 436 894
341 59 -356
146 833 -238
16 233 -962
488 525 471
9 824 -612
826 405 566
166 282 -198
628 52 230
256 332 500
204 207 -516
653 334 117
62 832 685
777 426 370
370 855 156
449 407 -908
266 624 -47
732 185 804
745 854 -189
74 318 -423
526 483 -427
825 401 189
191 830 -535
354 416 -141
660 684 536
57 753 348
680 770 -875
808 704 464
634 46 878
273 249 -138
251 387 469
866 445 -493
770 202 -869
11 613 -748
224 759 -136
775 10 853
748 264 521
453 406 -847
538 288 -838
273 591 155
389 509 -243
394 158 508
652 158 -234
184 346 -745
475 505 -580
179 612 -777
236 873 932
794 440 63
602 298 -686
84 830 766
516 247 14
626 504 484
691 18 369
312 372 -581
627 585 522
337 472 742
312 422 -578
847 167 8
685 656 -455
678 161 372
5 741 269
530 439 41
864 513 974
730 132 684
127 521 769
114 803 -638
787 134 396
853 640 106
136 157 -451
620 677 258
122 863 -217
185 438 -871
346 534 -341
216 419 -757
852 193 -764
869 796 637
551 150 228
672 112 267
690 789 -59
2 323 -172
235 454 -815
707 617 106
678 420 46
96 350 62
101 261 -141
749 681 261
666 578 114
833 184 58
435 793 -337
714 795 953
876 720 78
684 184 -560
455 438 620
860 674 181
815 110 933
453 378 202
105 248 279
698 752 375
705 218 -87
180 524 -967
160 508 -922
46 781 557
217 868 264
324 829 638
688 733 -756
595 311 -612
205 653 -506
27 26 -690
501 274 872
180 588 -172
147 128 74
822 608 552
735 3 621
866 329 -942
710 867 730
339 116 909
543 647 97
750 656 -362
785 227 -813
215 654 846
64 419 -592
691 105 -177
48 706 -184
4 332 794
10 813 -895
680 264 -315
181 824 -951
272 175 282
791 261 366
259 279 -657
619 522 723
346 593 -879
429 795 446
575 406 -906
531 48 745
793 636 601
718 742 975
770 378 34
577 748 -711
822 380 -419
817 150 791
15 107 191
171 361 -191
274 745 -973
153 17 -888
117 230 65
846 721 212
835 69 17
490 737 -82
442 268 409
625 857 6
552 346 -932
112 801 116
216 389 999
44 667 92
610 728 -245
407 24 -958
384 702 -128
719 264 -34
660 513 -147
781 607 136
770 336 600
810 112 -231
352 429 921
207 828 44
722 666 737
198 332 -364
345 411 -517
604 298 774
375 291 -556
865 668 416
800 380 318
368 663 277
763 621 593
363 602 363
171 735 325
756 721 -245
639 23 591
232 732 -914
827 102 -78
629 62 843
424 580 793
81 213 460
716 746 -866
776 276 19
608 827 -665
292 288 464
413 541 608
67 72 -240
367 340 852
60 834 352
127 694 742
42 124 315
549 260 306
115 98 -313
356 259 -365
322 606 -375
644 805 557
364 139 175
762 741 789
131 143 355
770 676 -548
779 276 -849
228 309 -984
750 363 472
71 294 -450
245 651 971
738 702 -86
479 574 -426
856 2 -409
395 428 -732
594 577 -461
313 523 -288
471 505 991
42 483 -594
490 78 575
508 414 46
509 642 154
875 741 -522
132 590 -908
798 407 81
827 236 726
680 15 -87
431 262 702
244 463 192
860 783 -746
487 550 -879
163 172 172
254 435 951
470 306 -919
433 519 599
765 185 644
435 22 620
227 5 315
860 448 -12
89 209 935
504 3 166
524 259 652
15 636 183
283 66 388
188 318 -972
670 196 -993
785 761 -551
169 5 817
865 351 295
718 717 771
307 768 -505
317 172 951
548 739 -873
802 622 -860
85 451 -267
610 408 -143
505 731 140
605 124 763
104 331 140
838 453 489
208 30 494
571 761 -378
244 91 -620
614 171 302
166 653 -178
206 130 -132
130 358 -870
319 127 -862
579 393 199
863 321 304
610 585 -676
659 564 -347
4 741 792
453 804 -787
797 430 -211
742 459 -972
805 362 -295
781 686 -606
519 287 483
744 364 524
516 325 -450
520 856 962
194 360 -970
332 774 -255
13 5 -609
235 213 -677
803 118 -595
540 651 740
286 788 -779
819 115 -682
7 681 -848
241 520 -600
711 595 73
571 618 -873
340 101 -265
780 529 -852
137 631 -300
414 558 592
361 385 40
834 831 44
833 552 -833
737 649 -118
545 226 394
245 150 398
853 812 -826
33 506 347
476 209 -275
824 535 -237
139 476 -973
592 537 764
594 849 740
320 638 884
805 102 790
240 175 34
339 331 -380
446 817 -827
202 320 811
34 586 760
440 244 670
415 489 -129
167 760 -287
125 743 628
645 687 541
316 512 -77
106 15 -130
849 245 -147
492 55 -642
281 644 -869
272 250 -207
829 442 -553
61 142 -120
28 744 968
402 476 997
741 343 342
219 332 19
404 452 -143
75 601 -445
647 248 -690
6 660 -357
465 144 -750
859 134 61
659 2 -417
124 835 -820
505 128 187
790 813 393
524 656 437
370 147 72
496 585 787
495 535 -373
125 301 -80
556 133 693
706 519 733
824 760 -662
382 131 233
527 514 369
739 221 88
744 781 -867
211 343 -754
522 375 -210
460 555 422
264 416 561
622 196 -560
8 352 355
550 166 -566
181 201 315
651 645 -269
247 370 -820
385 673 -948
809 218 59
621 176 68
49 753 -975
876 655 -63
474 244 343
741 397 996
489 25 -638
126 99 -169
520 534 315
276 340 75
707 93 968
489 825 -201
617 779 85
767 697 399
634 743 -366
137 432 -821
682 232 925
471 637 -383
327 851 -632
657 173 -247
586 444 570
384 348 313
87 277 -106
457 155 256
523 402 332
646 381 902
254 533 -851
334 349 -921
325 822 -752
726 692 -143
173 48 -246
455 278 514
473 124 -710
376 62 -250
490 542 533
372 628 -51
712 684 -869
213 579 -812
415 262 238
635 202 785
546 122 437
39 177 -106
850 791 -613
92 638 -319
734 79 -293
731 172 -768
175 118 67
61 286 -277
548 401 -449
710 538 653
74 356 760
187 184 551
441 352 236
450 373 54
819 662 284
306 146 -604
824 136 26
776 118 -599
243 83 -368
199 257 524
611 356 10
515 772 956
449 289 287
790 133 -186
331 62 739
259 768 777
532 791 247
