932 2876
890 12 841
78 742 102
241 108 750
468 342 126
204 894 7
3 223 148
824 539 548
839 411 361
881 832 11
329 752 760
595 29 426
897 20 101
184 839 725
528 591 759
815 340 360
225 538 886
574 839 640
279 627 406
501 138 796
930 110 481
334 481 550
325 855 206
361 175 228
287 772 98
177 732 3
816 312 30
856 653 764
425 137 686
603 336 418
738 867 659
824 886 967
247 534 461
634 751 436
844 373 635
315 342 881
260 145 770
366 600 251
275 76 629
176 63 746
395 760 503
480 328 730
444 930 881
160 737 330
670 680 405
890 633 541
503 595 583
106 605 225
255 96 514
494 244 838
788 446 75
413 547 299
680 329 164
417 365 635
878 705 932
38 516 959
646 248 657
436 84 215
72 177 557
62 788 993
458 821 222
294 299 195
801 193 451
365 774 958
305 719 171
103 266 465
282 592 697
829 347 809
106 403 108
840 158 923
929 634 211
227 181 351
626 190 940
464 716 316
232 709 118
604 478 822
889 123 982
255 713 173
261 379 400
591 924 344
257 769 734
39 719 191
7 502 377
614 806 893
652 738 197
143 910 108
540 743 311
931 680 127
233 332 971
506 421 745
365 463 532
573 834 112
706 930 248
181 113 244
453 506 721
342 86 785
197 526 136
53 161 194
617 48 532
50 479 205
394 297 645
755 829 923
850 816 4
780 164 55
90 163 83
57 233 844
787 149 537
512 342 188
64 583 502
46 628 26
173 235 78
506 412 269
830 68 696
225 742 598
144 564 350
852 537 880
145 673 99
550 488 686
2 211 345
3 298 211
154 431 191
101 219 941
798 626 38
382 341 597
577 174 206
273 156 478
899 299 884
416 540 177
318 178 417
258 404 410
920 571 171
279 787 586
801 872 793
383 776 316
839 647 32
852 560 732
316 691 10
816 467 116
774 130 610
524 831 334
315 630 932
716 330 100
787 734 545
17 190 321
17 455 914
421 558 918
304 893 558
595 400 808
197 783 74
852 924 885
151 222 501
911 792 162
262 846 699
583 5 588
731 459 471
222 561 802
181 170 137
251 835 981
576 809 929
236 811 811
59 498 334
325 378 231
864 269 835
651 609 436
738 96 955
211 279 593
418 469 986
328 710 795
122 222 171
729 622 419
415 47 863
497 321 932
311 410 610
452 780 679
635 162 628
495 699 529
119 742 98
303 144 272
407 283 71
211 226 103
456 622 302
349 664 622
912 729 36
182 291 99
810 573 26
56 378 122
256 722 451
697 376 197
3 343 215
440 754 787
100 854 350
600 702 823
920 577 161
197 25 308
504 559 73
848 150 206
400 718 815
609 932 454
379 748 103
502 809 703
277 735 405
604 759 416
561 899 923
428 425 645
495 190 801
319 276 668
923 437 807
512 926 707
775 564 860
460 820 567
393 37 267
366 556 941
10 558 998
695 265 875
652 430 671
211 231 904
164 823 614
774 845 159
663 457 870
639 314 72
523 794 801
766 12 768
321 284 605
654 177 771
558 125 822
361 286 456
220 166 763
259 10 333
177 186 78
772 278 494
342 90 370
303 824 994
636 735 279
359 837 902
752 881 192
806 630 368
343 632 157
415 892 927
250 730 327
195 703 235
214 404 31
441 769 696
431 926 484
119 634 972
435 171 342
136 104 267
604 109 979
789 451 27
98 537 732
537 695 533
106 359 717
534 212 419
430 70 886
515 176 315
697 1 782
908 704 535
484 786 957
858 95 375
922 624 140
108 214 985
139 812 956
833 250 971
204 644 701
194 95 31
452 521 794
602 772 31
85 401 992
3 739 448
253 930 755
314 584 583
517 551 846
826 524 318
134 61 493
315 263 840
653 932 491
331 71 962
253 675 230
366 758 712
158 471 557
766 556 407
146 445 506
164 316 403
853 918 274
337 355 711
48 309 523
594 19 111
730 159 366
426 915 627
135 59 608
545 695 807
892 908 825
800 581 236
727 671 659
744 869 142
18 196 258
85 756 507
691 572 924
38 822 897
622 608 377
53 835 812
62 755 171
806 738 622
819 879 307
8 257 427
273 849 352
842 395 907
64 89 332
859 51 152
880 719 253
657 52 121
843 90 435
168 694 621
505 806 731
220 820 858
153 863 127
429 412 811
434 680 610
848 72 618
433 630 895
649 656 532
630 458 162
716 807 164
45 556 350
50 150 740
790 479 869
576 670 573
300 891 765
776 434 975
681 139 784
803 844 745
533 285 739
343 460 142
390 821 454
647 108 495
623 389 50
373 45 891
824 246 348
299 246 669
147 87 500
10 187 842
789 782 881
244 257 212
685 181 887
356 890 24
9 450 203
552 64 437
180 484 922
301 861 957
66 718 496
809 298 229
697 312 775
473 36 356
788 921 678
20 870 155
441 767 201
768 216 326
90 602 411
586 428 119
577 91 759
319 726 882
536 225 606
332 87 432
236 505 831
827 586 954
390 504 997
880 568 671
747 757 316
320 525 106
376 328 596
448 331 840
926 874 497
639 849 570
789 1 309
919 95 719
233 481 964
143 560 503
794 588 403
391 578 566
137 147 32
175 691 291
765 502 28
130 749 962
433 612 618
275 594 784
506 309 386
44 236 712
753 771 745
776 209 616
792 385 685
932 636 53
194 759 212
745 143 23
351 867 700
284 478 59
61 854 620
684 148 620
153 825 219
300 710 512
579 560 16
509 562 450
314 87 764
191 348 338
653 484 882
239 233 756
