18
965 1964
102 398 833
313 172 32
589 4 873
160 57 461
679 568 15
455 357 176
945 878 778
342 833 283
56 337 984
448 569 943
203 880 524
899 193 797
544 178 311
177 782 862
70 853 8
588 710 932
438 132 902
118 66 685
25 285 968
571 133 167
38 242 529
220 516 124
458 603 73
547 106 905
550 289 465
154 593 365
753 597 254
850 597 875
71 759 378
146 646 202
128 51 644
737 384 955
943 85 797
417 106 311
853 226 23
365 696 940
874 805 116
699 635 990
884 139 488
116 574 921
65 57 463
915 485 971
41 413 68
70 585 242
767 686 415
457 432 611
712 850 273
872 814 246
93 950 424
25 605 103
832 583 177
175 481 469
674 129 899
616 788 454
379 240 133
343 140 610
654 304 925
499 600 866
514 361 917
958 299 562
342 532 892
965 174 981
821 907 442
360 395 436
808 291 74
897 861 915
743 829 925
516 86 116
822 597 175
816 935 136
850 875 918
147 917 260
529 260 849
24 9 728
149 892 456
116 189 285
251 852 175
827 885 112
44 314 521
353 92 307
698 47 162
17 712 276
184 372 16
408 896 325
65 880 289
48 603 761
329 531 319
603 950 610
680 598 650
885 588 641
846 548 124
872 162 929
791 769 388
640 96 331
136 198 470
427 264 170
450 454 918
391 406 872
642 250 992
109 652 115
891 640 176
741 750 222
410 330 137
358 923 295
695 532 540
523 318 95
81 354 93
243 240 804
532 941 413
283 578 560
157 93 963
696 505 113
678 94 880
240 192 118
595 461 191
264 659 137
855 259 175
603 933 722
516 74 968
59 467 885
531 948 261
250 703 487
249 893 75
157 478 692
149 776 996
313 812 447
528 714 152
103 231 915
376 885 693
289 98 16
344 323 617
859 106 869
892 771 475
822 630 695
291 877 472
703 734 880
529 125 929
729 938 627
262 216 545
38 242 507
850 697 783
35 692 16
421 748 291
37 863 992
296 270 561
700 746 634
772 423 822
914 908 294
171 505 122
414 698 830
774 188 879
489 90 81
491 407 61
48 782 722
308 76 694
653 547 315
443 335 875
625 425 560
781 537 895
763 544 96
638 392 276
669 731 311
833 706 635
432 402 290
809 782 34
530 562 765
487 614 482
174 175 34
698 428 927
853 38 147
925 754 445
245 471 471
897 471 468
268 184 261
932 93 591
509 429 52
873 221 174
928 487 500
430 233 699
958 303 948
766 806 101
698 930 504
220 635 440
378 2 511
794 393 136
534 226 253
217 241 768
212 446 902
161 222 500
373 844 879
711 893 601
247 150 967
736 123 418
130 276 742
92 161 645
427 611 760
165 906 165
245 399 75
767 928 249
347 52 686
913 547 843
248 278 72
204 256 407
192 37 221
697 670 532
382 525 616
663 157 431
958 134 221
709 956 534
586 802 885
912 897 997
687 963 175
187 383 933
264 395 790
50 570 242
661 486 63
293 275 920
848 333 733
408 385 768
883 282 500
575 747 792
510 769 289
24 682 783
202 145 841
703 733 211
158 161 377
737 464 751
501 298 150
152 675 723
151 826 109
811 451 503
155 730 541
394 707 991
768 213 133
595 400 197
642 238 284
18 672 396
861 234 27
600 488 814
429 916 229
478 425 231
234 388 51
168 87 887
333 953 717
100 557 85
279 541 75
817 248 873
644 507 908
614 173 119
598 677 262
25 543 260
283 116 344
196 467 975
556 228 377
474 546 543
184 398 839
211 625 826
697 469 218
952 706 710
307 415 520
619 344 468
598 548 539
901 781 240
182 183 623
645 554 829
229 869 585
956 689 835
587 325 918
756 664 539
763 727 138
156 423 292
286 621 405
703 585 203
453 925 727
273 794 977
925 957 842
753 183 107
409 47 790
65 52 437
292 795 752
783 722 512
38 75 411
422 7 670
764 257 117
710 727 480
191 526 385
503 165 135
38 120 882
655 941 909
719 201 490
711 705 835
142 678 407
563 431 80
864 621 832
417 834 275
619 814 87
892 610 290
727 499 863
719 927 794
864 764 806
249 566 980
600 888 534
696 845 376
234 712 831
211 399 820
146 109 487
331 747 714
540 679 557
125 85 576
151 217 643
414 921 205
396 276 548
644 440 849
535 844 543
176 495 461
246 240 694
94 204 736
6 725 147
131 3 807
351 717 762
455 803 46
19 459 847
796 535 293
862 927 929
383 645 787
21 350 555
697 692 541
121 225 483
305 667 838
140 50 733
942 420 146
421 591 787
326 427 487
