864 873
346 561 -488
386 472 -922
196 341 -319
532 536 867
468 814 -378
562 145 250
281 439 -488
70 822 -171
566 183 752
492 214 -877
151 816 -686
630 754 705
491 123 652
736 580 -848
254 736 -61
208 351 465
35 668 -368
625 142 -354
829 139 -436
834 454 -287
694 805 759
636 95 -734
770 252 982
570 435 -811
234 570 -528
678 741 435
82 688 991
385 488 -789
716 512 -933
630 261 -884
437 659 643
777 316 141
344 691 -509
8 83 559
660 163 706
854 196 886
773 844 902
581 513 988
224 689 376
627 312 -657
58 864 107
321 117 -351
652 513 -320
519 97 1000
559 216 -234
217 605 178
3 356 498
321 807 742
850 591 768
311 465 732
638 567 104
141 519 -152
672 185 -858
367 521 -721
252 463 -967
161 64 440
137 382 162
480 447 927
318 347 -850
483 21 791
390 229 757
536 276 -531
817 428 981
86 69 287
499 580 -677
524 1 735
499 496 -565
90 785 356
839 785 -4
503 381 394
761 754 -669
331 434 924
404 689 411
648 840 410
543 614 793
417 657 452
651 729 714
237 52 427
385 482 -775
92 456 664
379 726 840
49 486 -23
626 260 464
802 422 -665
259 222 377
305 768 -6
476 31 -498
744 850 -301
443 583 -917
276 579 -832
843 338 202
835 278 -627
198 712 -141
139 793 97
17 764 823
218 763 -462
398 418 -608
278 184 458
377 536 685
284 88 381
788 827 347
798 534 841
574 58 488
824 719 -429
342 90 -110
123 439 -760
249 11 -853
422 11 -685
602 345 -817
551 235 740
227 337 -814
471 681 -285
73 12 -463
24 623 -974
8 201 -149
95 277 -427
188 861 369
644 547 -50
839 470 -745
14 788 929
385 765 436
532 641 -540
362 336 -773
813 322 230
653 857 -83
835 272 141
134 475 -837
253 519 -808
660 633 -224
22 231 383
33 455 792
306 636 -981
249 71 -252
45 174 -399
316 553 606
245 320 -775
817 580 136
673 681 954
632 640 205
467 150 -458
794 3 -1000
844 630 931
467 519 -127
510 249 -511
34 435 784
272 30 -602
120 581 716
659 848 870
435 662 -421
745 148 -899
182 616 -641
222 260 -581
732 230 949
123 48 107
793 234 -766
38 17 267
129 414 204
578 314 341
248 111 -13
221 788 771
651 666 50
96 343 121
124 505 -287
427 812 24
845 198 -919
214 595 924
494 447 -633
25 712 -360
607 181 -769
504 240 -349
129 497 -59
337 323 766
637 44 328
101 648 573
353 10 -186
510 552 -604
615 89 -297
17 842 311
267 320 486
493 574 -532
267 612 823
719 563 740
830 503 239
296 59 -516
686 411 565
482 680 -372
808 611 338
60 632 -842
742 382 -837
118 70 114
255 24 -149
319 49 797
638 224 693
319 709 -46
295 289 -582
721 363 -427
384 845 -170
717 164 858
657 324 -16
727 210 -954
859 63 250
76 446 897
504 580 -873
565 698 422
756 121 780
718 678 660
343 400 -976
363 89 732
467 342 -877
761 564 -192
147 844 217
850 823 -148
109 79 157
842 81 710
566 755 -249
398 630 37
825 828 -250
298 159 437
530 30 -524
770 198 439
426 537 -624
81 278 490
190 159 921
592 473 -367
460 391 -809
700 307 937
291 648 -213
192 211 -329
423 239 -198
