20
814 826
805 28 -221
735 413 1000
245 433 -773
542 148 47
605 91 114
468 703 -487
455 695 11
698 760 13
527 12 -593
65 266 414
230 776 -27
601 361 138
810 410 -998
617 449 714
140 635 -972
656 286 460
58 478 473
507 499 892
209 495 -903
289 601 585
676 396 -196
9 157 519
733 253 -319
163 33 -742
639 754 805
461 36 -821
421 612 -915
242 682 -187
654 90 282
337 698 -430
783 205 492
363 740 -231
258 759 697
223 621 49
618 784 945
317 105 174
494 163 569
796 560 636
142 112 427
51 358 852
572 529 -939
535 449 28
657 566 162
208 683 -73
563 580 -265
624 392 -553
273 74 -426
390 8 986
19 478 -965
743 164 -453
460 77 -22
712 683 -764
550 683 -17
664 292 53
249 190 -520
621 521 892
134 145 228
521 91 667
193 36 615
498 166 -534
250 652 -53
172 774 713
117 508 971
172 318 752
455 203 221
667 785 -269
25 486 -161
506 411 654
177 518 363
133 746 57
793 557 -847
785 306 713
337 723 168
308 502 492
137 365 841
589 183 -52
478 657 -777
231 272 704
411 32 531
668 747 308
417 463 -980
270 294 294
224 55 -894
670 786 822
639 346 328
260 51 -695
214 770 311
43 516 386
682 609 739
123 308 -194
229 82 -436
636 808 700
709 273 416
621 619 -444
740 757 453
31 155 652
181 767 -808
304 762 341
131 472 419
64 811 379
481 483 -905
194 532 -450
813 422 -691
84 146 655
446 752 624
135 124 360
396 723 757
633 412 602
540 453 -877
35 591 463
555 618 242
766 464 718
186 240 27
307 540 -497
91 33 -691
126 659 -415
149 739 219
135 141 832
742 345 -508
696 330 20
511 476 -93
261 403 -45
474 404 623
692 459 -179
5 205 530
59 323 -737
677 394 312
159 21 -540
173 344 968
709 612 -201
727 449 -950
626 758 296
314 332 -871
251 325 -140
221 609 138
514 686 -639
534 463 -56
544 65 -181
509 696 -855
315 524 -604
287 541 400
209 419 626
424 75 -58
492 646 -342
185 40 192
281 768 506
401 454 -964
15 520 828
152 52 287
767 144 405
295 646 702
573 103 -996
225 450 -998
169 99 -845
529 745 -247
543 18 -887
571 34 -198
64 545 177
462 159 780
644 673 659
365 405 -810
479 281 -525
533 158 -989
315 291 -709
605 6 -889
520 447 438
704 49 663
583 657 717
494 318 11
626 279 -220
507 353 982
425 99 -624
20 245 -725
462 470 602
749 448 -322
381 392 -655
487 274 690
127 375 -537
728 473 776
87 100 380
440 659 345
663 626 -260
486 147 -734
456 332 46
89 523 -666
460 668 -383
682 187 791
367 60 764
385 52 165
705 710 -763
262 255 -92
284 686 -675
554 102 489
469 538 43
509 800 656
324 370 838
543 278 -333
679 783 -904
323 37 -362
684 254 56
585 614 332
693 705 -538
561 266 -430
45 260 387
109 587 -12
5 278 -770
485 240 -22
746 515 -379
483 707 -203
659 512 626
322 82 -204
52 97 778
533 717 44
386 349 317
546 399 582
635 612 455
214 286 355
97 67 480
633 64 252
81 120 -989
232 194 -870
732 531 -186
639 252 543
611 401 419
747 169 904
649 247 -5
580 588 -637
300 428 -595
644 153 -437
687 278 -944
632 633 827
224 85 486
482 639 47
202 523 -758
718 514 362
84 270 -738
534 589 576
789 811 -73
678 289 -236
332 377 -286
524 46 983
550 453 -162
707 130 -826
313 645 -324
170 783 -664
53 355 -220
535 525 -781
433 724 63
455 681 -436
279 569 -709
490 409 -345
184 563 451
149 47 603
37 15 -424
256 309 833
448 253 -640
461 447 381
163 803 -920
758 781 14
319 302 -568
308 231 235
358 675 566
238 43 644
102 436 -388
496 43 25
769 286 -746
343 630 -342
179 533 749
741 502 -280
568 61 -125
758 132 -480
299 245 847
560 441 562
523 603 -159
293 717 476
390 370 -568
384 646 -935
729 188 -309
514 748 674
806 741 -603
402 375 710
71 563 260
216 113 432
790 550 270
479 244 444
219 787 824
372 139 225
267 642 732
581 422 80
280 472 949
623 286 -476
572 158 -277
90 478 -634
345 583 -473
628 344 -110
134 659 360
620 204 824
693 335 930
69 101 -656
601 307 -937
172 315 361
587 184 354
666 727 192
800 688 329
356 48 -185
680 716 225
498 306 -483
415 259 -211
507 25 -762
256 211 218
106 402 383
263 664 -313
709 555 509
751 662 -529
32 614 943
570 226 -771
402 91 -47
620 99 178
313 154 -45
17 116 710
95 154 757
370 380 136
247 637 -785
705 537 934
798 788 -597
282 598 -835
441 178 -29
411 220 -66
634 617 879
565 720 -295
121 620 997
720 634 767
559 526 340
480 719 -338
683 567 -18
427 501 -666
419 571 461
341 295 982
114 175 231
731 796 186
469 624 732
557 251 898
580 533 -136
657 186 -369
491 564 -392
35 108 -831
12 739 39
509 494 140
600 643 -319
57 269 -653
4 483 574
151 185 -824
676 496 436
255 161 637
741 286 81
710 44 63
735 589 561
34 675 999
458 469 -626
463 91 -857
343 66 -815
52 444 954
708 525 111
761 46 734
673 456 -94
711 729 404
380 517 -498
757 279 -845
121 376 -368
539 569 -224
439 700 342
718 289 32
549 452 277
253 359 -334
651 761 -587
460 706 -331
37 303 -683
807 410 -205
72 249 735
746 490 -546
517 346 -812
675 223 -766
5 508 -397
230 142 -300
70 164 483
1 751 -185
129 509 -839
495 650 879
246 479 -982
325 196 -806
171 708 -604
303 344 201
620 416 -567
73 655 -174
102 14 -749
571 807 194
742 581 475
346 537 845
649 190 -762
602 147 684
655 277 -311
271 28 -436
225 458 985
447 293 691
676 610 865
345 160 728
312 212 34
619 427 -486
736 610 -796
235 579 380
462 450 465
600 343 -593
101 488 831
523 49 -671
725 705 -996
487 180 -265
88 450 -243
306 326 -280
172 474 -685
546 578 -624
552 742 -912
499 440 635
600 109 674
424 567 -340
559 345 -570
650 697 -486
511 146 -959
668 359 798
609 337 -555
310 609 -624
692 710 -695
285 420 380
313 106 901
346 299 -489
287 668 -326
585 762 -790
373 526 -563
417 310 -109
509 86 -230
205 543 823
503 629 97
263 567 -430
586 100 99
281 755 701
469 52 765
240 491 526
327 455 627
592 130 632
445 145 443
317 606 443
165 348 -515
342 194 -67
642 578 -515
283 663 -428
620 487 -678
101 439 32
438 530 351
766 51 -845
569 795 -3
280 344 47
219 155 -201
262 129 881
198 22 -453
609 376 -811
519 500 -142
785 157 346
102 731 -115
248 790 113
37 521 -433
116 748 -185
504 131 903
447 57 466
178 144 -244
260 386 -806
539 413 174
323 412 -11
761 573 -51
117 783 -880
82 334 -363
576 310 300
666 320 506
105 46 160
300 402 -123
789 188 -546
602 773 755
142 217 627
255 664 460
109 265 -283
194 216 905
714 115 878
721 383 837
658 504 -750
193 748 68
527 462 756
71 351 333
124 758 -883
754 811 -241
219 750 17
645 68 60
195 324 315
205 391 433
601 187 -829
305 311 241
422 129 10
72 408 537
9 106 -371
660 495 198
740 7 -504
38 155 -303
516 152 116
438 733 0
124 41 -192
740 371 701
747 130 -667
553 530 929
102 128 -87
581 544 541
83 220 -460
678 233 932
430 181 -125
797 125 920
630 762 -36
592 702 901
287 7 264
508 366 -559
715 438 -560
402 209 397
400 31 -516
644 303 20
582 656 36
535 778 541
339 577 797
38 77 627
119 199 -102
205 334 -346
138 329 294
788 114 410
795 499 -668
474 206 837
690 581 207
430 139 452
755 330 681
429 709 591
39 47 597
252 337 -55
718 594 701
137 116 -911
32 612 -799
243 683 -783
254 379 -213
72 686 155
392 808 142
18 10 -537
292 358 61
156 773 203
763 760 -698
434 414 562
734 69 147
809 411 661
533 756 -786
145 85 -290
395 341 -607
11 681 130
449 651 563
257 685 115
140 567 -850
558 777 440
250 110 884
733 1 494
675 333 198
465 330 32
500 110 -210
336 52 72
98 752 -116
554 630 -280
56 314 887
767 95 597
625 776 -690
339 229 720
800 709 436
793 708 393
267 311 -944
546 252 965
299 539 -149
705 533 877
703 602 -663
325 777 -516
298 660 809
693 279 180
31 148 -951
581 353 -875
581 336 -335
542 86 -32
27 233 154
614 529 579
164 278 423
516 667 289
634 293 674
616 202 292
242 800 -449
208 377 592
143 349 -800
497 181 -196
219 635 -263
746 491 156
664 694 831
257 703 331
240 25 879
663 46 -138
423 537 215
10 93 -141
673 147 688
296 618 381
728 416 28
22 528 67
798 348 -759
567 7 225
761 19 861
723 172 -436
250 192 688
339 747 -477
663 785 116
32 233 834
578 321 -727
644 225 348
202 409 20
370 344 -467
389 772 598
61 11 575
361 339 108
98 561 -897
70 76 961
178 58 -895
487 639 -346
198 651 741
46 583 -441
521 533 -5
806 698 -745
382 282 568
393 764 -605
240 191 546
491 104 -478
178 711 854
36 152 919
467 348 917
102 63 206
89 65 -62
335 509 -655
66 613 -841
105 635 382
175 361 76
519 138 515
253 777 -503
401 306 491
38 177 560
146 608 701
263 348 -373
64 581 666
168 450 -132
662 700 -107
405 10 443
133 676 700
205 699 31
536 269 -428
589 61 -665
207 752 905
548 7 262
92 559 975
101 609 331
172 650 -618
306 703 538
144 92 370
561 508 -263
618 218 -35
90 740 -102
304 711 876
784 243 -918
425 564 -983
737 581 -559
451 107 208
157 303 373
631 303 -804
136 725 -272
149 288 -769
45 141 214
259 449 475
537 713 677
470 270 -455
506 276 746
117 491 -661
128 684 -976
1 549 -165
622 104 881
58 112 279
717 402 -644
48 30 -890
231 305 -178
720 387 843
746 649 726
658 645 190
482 364 366
185 252 -105
170 700 329
435 735 856
194 730 751
699 165 589
559 535 652
42 45 100
168 358 -127
170 574 214
704 278 972
337 426 678
284 229 -32
403 634 993
173 589 472
354 407 822
333 634 381
372 127 -240
341 46 -919
74 333 162
50 160 434
151 403 -791
440 718 532
413 438 -33
560 64 -478
531 295 191
654 115 -543
242 467 172
104 223 -455
719 280 -334
746 699 432
535 668 214
2 94 -977
256 416 -195
305 673 -503
146 600 -382
280 723 -930
614 555 339
301 145 -974
557 460 278
235 280 800
794 290 -947
454 196 -739
484 574 -747
642 193 -337
689 39 -349
623 407 -20
686 784 -774
346 571 -788
636 316 515
737 123 140
401 355 -756
697 433 675
258 679 479
487 329 -131
278 443 821
687 419 712
692 407 -15
414 249 -66
808 266 -846
546 36 -496
663 497 -228
263 721 757
324 495 -914
351 425 -159
747 401 -980
199 206 -160
810 751 601
177 356 -58
445 25 -410
496 704 270
71 769 -420
657 97 551
401 705 -792
363 315 -401
61 555 -444
432 78 187
120 621 233
675 209 345
644 338 -349
578 249 500
156 279 381
493 448 -675
771 491 -349
598 379 58
708 467 814
311 197 -456
278 358 -993
218 742 -762
488 277 959
120 453 854
418 520 236
620 784 -142
676 245 984
137 462 -966
325 668 948
735 174 958
673 532 175
482 333 468
754 199 405
796 99 -708
438 36 -636
618 389 590
776 554 -534
352 235 -696
618 683 261
431 507 922
628 339 451
87 652 -550
726 545 -299
537 558 -664
32 134 54
269 546 -11
173 363 -636
544 216 321
616 486 678
303 657 -583
130 378 -987
537 505 641
618 492 685
237 138 319
402 683 -556
643 44 -483
267 431 47
794 609 -579
166 517 678
947 814
68 361 -579
412 44 16
96 789 -799
25 788 -934
592 495 -971
237 861 -496
529 689 609
29 212 -34
649 67 874
114 87 -934
366 915 -359
426 657 -651
535 784 29
716 252 -436
533 89 -997
419 464 -537
287 399 -436
698 761 991
274 943 -790
264 447 432
344 185 -491
107 655 302
682 45 936
228 811 407
517 483 -3
231 539 -151
839 677 900
554 78 -1000
571 47 -904
131 751 -823
922 693 898
457 568 -291
190 58 121
870 97 -231
167 426 -276
456 488 341
177 87 582
509 123 -707
163 934 -347
109 194 659
26 851 -494
642 840 -743
765 371 -241
419 646 -721
261 378 -836
754 239 -411
68 665 -337
46 524 247
107 103 646
79 370 253
356 803 150
668 828 97
524 539 954
375 57 832
59 561 566
504 417 102
860 793 -403
775 594 681
320 432 -805
335 595 -522
833 153 -146
902 650 -519
304 912 -644
770 395 394
916 398 -408
713 851 159
943 243 769
195 232 467
2 303 167
492 720 314
562 812 -242
662 930 842
820 312 366
430 928 -24
725 95 -32
702 345 -119
396 401 678
188 443 622
611 729 612
454 836 -74
854 149 -569
251 255 32
222 923 706
620 42 -72
532 897 559
414 328 -332
148 256 952
351 20 50
579 235 -740
863 53 -509
698 212 866
341 555 991
845 731 744
515 658 -288
